game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score,model1_game_pick,model1_game_pick_correct_flag,model1_game_win_flag,model1_game_loss_flag,model2_game_pick,model2_game_pick_correct_flag,model2_game_win_flag,model2_game_loss_flag,model3_game_pick,model3_game_pick_correct_flag,model3_game_win_flag,model3_game_loss_flag,model4_game_pick,model4_game_pick_correct_flag,model4_game_win_flag,model4_game_loss_flag,model3_this_t_mu,model3_this_t_sigma,model3_this_t_wt_pick,model3_other_t_mu,model3_other_t_sigma,model3_other_t_wt_pick,model4_this_t_mu,model4_this_t_sigma,model4_this_t_wt_pick,model4_other_t_mu,model4_other_t_sigma,model4_other_t_wt_pick
400489365,2014,01/04/2014,ATL,0,18,16,0,CHI,91,ATL,84,CHI,1,0,1,ATL,0,1,0,ATL,0,1,0,CHI,1,0,1,39.0,28.0,51.6334877171,58.0,10.0,51.6105281272,39.0,28.0,54.250877587,58.0,10.0,61.1646225807
400489379,2014,01/06/2014,ATL,0,18,17,0,BKN,91,ATL,86,BKN,1,0,1,ATL,0,1,0,BKN,1,0,1,ATL,0,1,0,39.0,28.0,35.0323801173,44.0,16.0,38.3758100865,39.0,28.0,78.5123785667,44.0,16.0,51.6911670235
400489395,2014,01/08/2014,ATL,1,19,17,1,ATL,97,IND,87,ATL,1,1,0,IND,0,0,1,IND,0,0,1,ATL,1,1,0,43.0,28.0,14.2413134764,31.0,1.0,31.3663940916,43.0,28.0,37.8480936456,31.0,1.0,32.2710009499
400489406,2014,01/10/2014,ATL,1,20,17,1,ATL,83,HOU,80,HOU,0,0,1,HOU,0,0,1,ATL,1,1,0,HOU,0,0,1,43.0,28.0,70.1479467237,48.0,18.0,51.074592945,43.0,28.0,46.5129361543,48.0,18.0,61.7455532486
400489426,2014,01/12/2014,ATL,0,20,18,0,MEM,108,ATL,101,MEM,1,0,1,ATL,0,1,0,MEM,1,0,1,ATL,0,1,0,39.0,28.0,49.0976351187,51.0,12.0,76.2072951372,39.0,28.0,59.7985855918,51.0,12.0,54.146340477
400489452,2014,01/16/2014,ATL,0,20,19,1,ATL,110,BKN,127,BKN,1,0,1,ATL,0,1,0,ATL,0,1,0,BKN,1,0,1,43.0,28.0,57.8900601195,40.0,16.0,43.0675945994,43.0,28.0,33.5055956703,40.0,16.0,37.9146296467
400489485,2014,01/20/2014,ATL,1,21,19,1,ATL,121,MIA,114,MIA,0,0,1,MIA,0,0,1,ATL,1,1,0,MIA,0,0,1,43.0,28.0,64.5632163618,42.0,19.0,49.2259623523,43.0,28.0,39.910227474,42.0,19.0,73.4782343133
400489496,2014,01/22/2014,ATL,1,22,19,0,ORL,109,ATL,112,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,39.0,28.0,57.4289382906,31.0,15.0,-0.367720722957,39.0,28.0,61.9666731978,31.0,15.0,30.5159375455
400489508,2014,01/24/2014,ATL,0,22,20,1,ATL,79,SA,105,SA,1,0,1,SA,1,0,1,SA,1,0,1,ATL,0,1,0,43.0,28.0,53.1899270815,55.0,7.0,55.1139781906,43.0,28.0,51.2893475064,55.0,7.0,45.1196706768
400489523,2014,01/25/2014,ATL,1,23,20,0,MIL,87,ATL,112,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,39.0,28.0,40.8121300911,27.0,3.0,26.7966667417,39.0,28.0,62.9406383954,27.0,3.0,26.5145087062
400489539,2014,01/27/2014,ATL,0,23,21,0,OKC,111,ATL,109,OKC,1,0,1,OKC,1,0,1,ATL,0,1,0,ATL,0,1,0,39.0,28.0,68.600778566,60.0,30.0,49.3011783736,39.0,28.0,73.9129582331,60.0,30.0,68.3415664821
400489563,2014,01/31/2014,ATL,1,24,21,0,PHI,99,ATL,125,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,39.0,28.0,50.7108146867,18.0,5.0,8.54613227797,39.0,28.0,49.1000970419,18.0,5.0,21.8572072547
400489572,2014,02/01/2014,ATL,1,25,21,1,ATL,120,MIN,113,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,43.0,28.0,103.835820185,24.0,21.0,9.9486386564,43.0,28.0,52.74286172,24.0,21.0,45.5186545433
400489594,2014,02/04/2014,ATL,0,25,22,1,ATL,85,IND,89,ATL,0,1,0,IND,1,0,1,ATL,0,1,0,IND,1,0,1,43.0,28.0,96.0159938283,31.0,1.0,30.715376966,43.0,28.0,16.914349488,31.0,1.0,32.5504784643
400489604,2014,02/05/2014,ATL,0,25,23,0,NO,105,ATL,100,NO,1,0,1,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,39.0,28.0,49.9214337655,44.0,6.0,39.3903525542,39.0,28.0,71.9015333973,44.0,6.0,42.8096650863
400489623,2014,02/08/2014,ATL,0,25,24,1,ATL,76,MEM,79,MEM,1,0,1,MEM,1,0,1,ATL,0,1,0,MEM,1,0,1,43.0,28.0,46.8493641135,47.0,12.0,44.0291836634,43.0,28.0,34.7279095289,47.0,12.0,45.1764204065
400489645,2014,02/11/2014,ATL,0,25,25,0,CHI,100,ATL,85,CHI,1,0,1,CHI,1,0,1,CHI,1,0,1,CHI,1,0,1,39.0,28.0,6.73100580076,58.0,10.0,58.7747250493,39.0,28.0,19.1755713612,58.0,10.0,46.7611588057
400489652,2014,02/12/2014,ATL,0,25,26,0,TOR,104,ATL,83,TOR,1,0,1,TOR,1,0,1,TOR,1,0,1,TOR,1,0,1,39.0,28.0,32.9693923392,52.0,24.0,87.845331556,39.0,28.0,66.1579166372,52.0,24.0,101.429554994
400489665,2014,02/18/2014,ATL,0,25,27,0,IND,108,ATL,98,ATL,0,1,0,IND,1,0,1,ATL,0,1,0,ATL,0,1,0,39.0,28.0,39.9876252684,35.0,1.0,33.269960901,39.0,28.0,37.0248577519,35.0,1.0,34.5660344907
